city,Temperature (°C),Humidity (%),Weather Condition
Sirpur,27.29,57,scattered clouds
Singapperumālkovil,27.68,84,clear sky
Rāyadrug,29.68,35,scattered clouds
Kozhikode,27.65,80,clear sky
Hājo,21.02,83,mist
Gondiā,25.23,50,few clouds
Dhrāngadhra,27.17,20,clear sky
Chittoor,23.57,89,clear sky
Chīrāla,26.75,76,clear sky
Chaksu,23.51,18,scattered clouds
Chāndur,28.22,50,broken clouds
Chāmpa,22.99,55,scattered clouds
Bambolim,28.0,51,clear sky
Amānganj,24.26,18,clear sky
Amalner,27.58,24,clear sky
Vepagunta,26.83,83,mist
Udaipura,24.66,21,clear sky
Toshām,21.1,19,clear sky
Tiruppur,26.06,73,clear sky
Shāmgarh,24.5,22,clear sky
Rāmnagar,20.03,68,clear sky
Pithāpuram,22.76,86,clear sky
Pallippatti,23.04,86,clear sky
Kotā,21.29,63,few clouds
Khāpri,25.05,65,haze
Kālimpong,17.26,80,overcast clouds
Itārsi,23.97,20,clear sky
Gharghoda,23.35,58,broken clouds
Egra,20.17,81,scattered clouds
Ālangudi,26.68,78,clear sky
Abhayāpuri,20.86,78,overcast clouds
Powai,25.77,73,haze
vadlamuru,22.52,87,clear sky
Vejalpur,25.86,22,clear sky
Shāhgarh,23.33,19,clear sky
Rāmghāt,20.52,16,broken clouds
Padmanābhapuram,26.92,90,scattered clouds
Nāttarasankottai,27.51,76,clear sky
Narasingāpuram,23.04,94,clear sky
Mādhoganj,21.8,15,clear sky
Khamharia,24.6,53,overcast clouds
Keonjhargarh,20.54,91,broken clouds
Girgaum,26.05,73,haze
Dausa,20.66,19,few clouds
Belda,21.09,81,scattered clouds
Barwādih,20.74,83,broken clouds
Bagasra,25.57,32,clear sky
Arambol,26.3,58,clear sky
Zafarābād,21.05,64,clear sky
Satānā,23.01,30,clear sky
Sārangpur,23.97,22,clear sky
Salon,22.33,18,clear sky
Ponda,27.73,64,clear sky
Pālghar,24.67,69,clear sky
Nayāgarh,22.89,88,clear sky
Naīgarhi,22.21,56,clear sky
Manapparai,25.7,81,clear sky
Jhālu,18.1,19,clear sky
Jaipur,22.88,19,clear sky
Harda Khās,24.52,20,clear sky
Dudhani,30.43,21,few clouds
Dhali,24.4,77,scattered clouds
Chaukhandi,23.01,45,clear sky
Betūl Bazār,22.96,19,clear sky
Aklera,24.87,19,clear sky
Ahraura,23.38,64,broken clouds
Adra,20.52,81,broken clouds
Edakkulam,25.83,90,scattered clouds
Sarupathar,19.38,80,overcast clouds
Nagpur Division,25.04,65,haze
Vadodara,26.83,22,clear sky
Udayagiri,19.66,67,broken clouds
Sarāi Mīr,21.02,56,clear sky
Richha,18.06,18,clear sky
Morena,22.17,20,scattered clouds
Kotagiri,15.15,84,scattered clouds
Katihar,19.91,79,overcast clouds
Kamalganj,21.83,13,clear sky
Gwalior,22.33,20,clear sky
Gurpūr,26.89,78,few clouds
Dāsna,20.33,19,clear sky
Colva,27.98,51,clear sky
Binka,27.53,36,overcast clouds
Gopālpur,23.32,58,scattered clouds
Sojat,23.75,18,clear sky
Shupīyan,4.66,53,clear sky
Shāhābād,18.4,22,clear sky
Pollachi,25.07,78,few clouds
Palāsa,23.14,91,overcast clouds
Mhāsvād,26.32,24,clear sky
Kovakulam,27.93,74,overcast clouds
Kānor,22.62,23,clear sky
Jagatsinghapur,22.57,95,clear sky
Gunupur,23.41,87,scattered clouds
Gokul,21.4,17,overcast clouds
Darbhanga,19.99,84,clear sky
Budhāna,18.07,19,clear sky
Beswān,21.57,17,overcast clouds
Bamboo Flat,28.05,78,mist
Nangi,21.97,59,scattered clouds
Tarabha,26.12,28,overcast clouds
Sikka,25.1,68,clear sky
Sādri,24.09,21,clear sky
Ratangarh,23.34,16,clear sky
Pūranpur,17.38,18,clear sky
