city,temperature,humidity,weather
Thang,-17.55,77,clear sky
Pūnch,12.76,37,clear sky
Keelakarai,28.19,76,scattered clouds
Zunheboto,11.69,80,broken clouds
Ziro,8.63,88,overcast clouds
Zamānia,21.32,68,clear sky
Zaidpur,21.82,18,clear sky
Zahirābād,26.86,47,scattered clouds
Zafarābād,21.05,64,clear sky
Yol,17.15,35,few clouds
Yerandwane,22.89,39,clear sky
Yeola,24.65,26,clear sky
Yellāpur,21.36,62,clear sky
Yellandu,24.29,68,clear sky
Yelbarga,27.41,29,clear sky
Yelandūr,24.35,62,clear sky
Yelahanka,23.88,72,few clouds
Yechagām,6.74,50,clear sky
Yavatmāl,25.8,23,clear sky
Yāval,26.64,20,clear sky
Yārāda,27.18,83,mist
Yanam,21.94,91,clear sky
Yamunānagar,17.59,26,clear sky
Yairipok,14.88,87,overcast clouds
Yādgīr,29.17,44,overcast clouds
Wokha,12.92,71,broken clouds
West Bengal,21.17,73,broken clouds
Wer,22.59,16,overcast clouds
Wellington,14.62,87,scattered clouds
Wazīrganj,20.05,15,clear sky
Wāshīm,25.23,22,clear sky
Warud,25.51,17,clear sky
Warora,29.96,37,overcast clouds
Wāris Alīganj,21.21,73,overcast clouds
Wardha,25.79,26,clear sky
Wārāseonī,25.97,46,scattered clouds
Warangal,26.41,55,broken clouds
Wanparti,26.59,57,scattered clouds
Wānkāner,27.13,29,clear sky
Wani,30.26,39,overcast clouds
Wāngjing,14.53,89,overcast clouds
Waltair,27.18,83,mist
Walajapet,24.45,86,clear sky
Wallajahbad,24.81,86,clear sky
Wai,22.07,31,clear sky
Waghāi,23.55,34,clear sky
Wādi,30.61,35,broken clouds
Wadgaon,21.64,43,few clouds
Vyāra,24.32,44,clear sky
Vuyyūru,23.66,85,clear sky
Vrindāvan,21.6,17,overcast clouds
Vriddhāchalam,26.04,83,clear sky
Vizianagaram,22.58,86,few clouds
Vite,25.95,28,broken clouds
Visnagar,24.6,23,clear sky
Visakhapatnam,26.94,83,mist
Vīsāvadar,25.77,36,clear sky
Virudunagar,27.22,74,scattered clouds
Virpur,26.19,22,clear sky
Vadakku Viravanallur,27.19,76,broken clouds
Vīrarājendrapet,20.25,94,clear sky
Virār,24.84,66,clear sky
Vīraganūr,25.41,81,clear sky
Vinukonda,24.69,83,clear sky
Vinchia,26.18,27,clear sky
Villupuram,25.52,84,clear sky
Vilattikulam,27.99,73,overcast clouds
Vikravāndi,25.58,84,clear sky
Vikārābād,26.46,48,broken clouds
Vijayawada,24.1,84,clear sky
Vijayapuri,25.85,72,clear sky
Vijāpur,23.8,24,clear sky
